dateKey,fullDate,dayOfWeekName,monthName,dayOfMonth,monthNumber,CalendarYear
"610,""2000-07-10"",""Monday"",""Jul"",""1"",""7"",""2000"""
"611,""2000-07-11"",""Tuesday"",""Jul"",""2"",""7"",""2000"""
"612,""2000-07-12"",""Wednesday"",""Jul"",""3"",""7"",""2000"""
"613,""2000-07-13"",""Thursday"",""Jul"",""4"",""7"",""2000"""
"614,""2000-07-14"",""Friday"",""Jul"",""5"",""7"",""2000"""
"615,""2000-07-15"",""Saturday"",""Jul"",""6"",""7"",""2000"""
"616,""2000-07-16"",""Sunday"",""Jul"",""7"",""7"",""2000"""
"617,""2000-07-17"",""Monday"",""Jul"",""1"",""7"",""2000"""
"618,""2000-07-18"",""Tuesday"",""Jul"",""2"",""7"",""2000"""
"619,""2000-07-19"",""Wednesday"",""Jul"",""3"",""7"",""2000"""
"620,""2000-07-20"",""Thursday"",""Jul"",""4"",""7"",""2000"""
"621,""2000-07-21"",""Friday"",""Jul"",""5"",""7"",""2000"""
"622,""2000-07-22"",""Saturday"",""Jul"",""6"",""7"",""2000"""
"623,""2000-07-23"",""Sunday"",""Jul"",""7"",""7"",""2000"""
"624,""2000-07-24"",""Monday"",""Jul"",""1"",""7"",""2000"""
"625,""2000-07-25"",""Tuesday"",""Jul"",""2"",""7"",""2000"""
"626,""2000-07-26"",""Wednesday"",""Jul"",""3"",""7"",""2000"""
"627,""2000-07-27"",""Thursday"",""Jul"",""4"",""7"",""2000"""
"628,""2000-07-28"",""Friday"",""Jul"",""5"",""7"",""2000"""
"629,""2000-07-29"",""Saturday"",""Jul"",""6"",""7"",""2000"""
"630,""2000-07-30"",""Sunday"",""Jul"",""7"",""7"",""2000"""
"631,""2000-07-31"",""Monday"",""Jul"",""1"",""7"",""2000"""
"701,""2000-08-01"",""Tuesday"",""Aug"",""2"",""8"",""2000"""
"702,""2000-08-02"",""Wednesday"",""Aug"",""3"",""8"",""2000"""
"703,""2000-08-03"",""Thursday"",""Aug"",""4"",""8"",""2000"""
"704,""2000-08-04"",""Friday"",""Aug"",""5"",""8"",""2000"""
"705,""2000-08-05"",""Saturday"",""Aug"",""6"",""8"",""2000"""
"706,""2000-08-06"",""Sunday"",""Aug"",""7"",""8"",""2000"""
"707,""2000-08-07"",""Monday"",""Aug"",""1"",""8"",""2000"""
"708,""2000-08-08"",""Tuesday"",""Aug"",""2"",""8"",""2000"""
"709,""2000-08-09"",""Wednesday"",""Aug"",""3"",""8"",""2000"""
"710,""2000-08-10"",""Thursday"",""Aug"",""4"",""8"",""2000"""
"711,""2000-08-11"",""Friday"",""Aug"",""5"",""8"",""2000"""
"712,""2000-08-12"",""Saturday"",""Aug"",""6"",""8"",""2000"""
"713,""2000-08-13"",""Sunday"",""Aug"",""7"",""8"",""2000"""
"714,""2000-08-14"",""Monday"",""Aug"",""1"",""8"",""2000"""
"715,""2000-08-15"",""Tuesday"",""Aug"",""2"",""8"",""2000"""
"716,""2000-08-16"",""Wednesday"",""Aug"",""3"",""8"",""2000"""
"717,""2000-08-17"",""Thursday"",""Aug"",""4"",""8"",""2000"""
"718,""2000-08-18"",""Friday"",""Aug"",""5"",""8"",""2000"""
"719,""2000-08-19"",""Saturday"",""Aug"",""6"",""8"",""2000"""
"720,""2000-08-20"",""Sunday"",""Aug"",""7"",""8"",""2000"""
"721,""2000-08-21"",""Monday"",""Aug"",""1"",""8"",""2000"""
"722,""2000-08-22"",""Tuesday"",""Aug"",""2"",""8"",""2000"""
"723,""2000-08-23"",""Wednesday"",""Aug"",""3"",""8"",""2000"""
"724,""2000-08-24"",""Thursday"",""Aug"",""4"",""8"",""2000"""
"725,""2000-08-25"",""Friday"",""Aug"",""5"",""8"",""2000"""
"726,""2000-08-26"",""Saturday"",""Aug"",""6"",""8"",""2000"""
"727,""2000-08-27"",""Sunday"",""Aug"",""7"",""8"",""2000"""
"728,""2000-08-28"",""Monday"",""Aug"",""1"",""8"",""2000"""
"729,""2000-08-29"",""Tuesday"",""Aug"",""2"",""8"",""2000"""
"730,""2000-08-30"",""Wednesday"",""Aug"",""3"",""8"",""2000"""
"731,""2000-08-31"",""Thursday"",""Aug"",""4"",""8"",""2000"""
"801,""2000-09-01"",""Friday"",""Sep"",""5"",""9"",""2000"""
"802,""2000-09-02"",""Saturday"",""Sep"",""6"",""9"",""2000"""
"803,""2000-09-03"",""Sunday"",""Sep"",""7"",""9"",""2000"""
"804,""2000-09-04"",""Monday"",""Sep"",""1"",""9"",""2000"""
"805,""2000-09-05"",""Tuesday"",""Sep"",""2"",""9"",""2000"""
"806,""2000-09-06"",""Wednesday"",""Sep"",""3"",""9"",""2000"""
"807,""2000-09-07"",""Thursday"",""Sep"",""4"",""9"",""2000"""
"808,""2000-09-08"",""Friday"",""Sep"",""5"",""9"",""2000"""
"809,""2000-09-09"",""Saturday"",""Sep"",""6"",""9"",""2000"""
"810,""2000-09-10"",""Sunday"",""Sep"",""7"",""9"",""2000"""
"811,""2000-09-11"",""Monday"",""Sep"",""1"",""9"",""2000"""
"812,""2000-09-12"",""Tuesday"",""Sep"",""2"",""9"",""2000"""
"813,""2000-09-13"",""Wednesday"",""Sep"",""3"",""9"",""2000"""
"814,""2000-09-14"",""Thursday"",""Sep"",""4"",""9"",""2000"""
"815,""2000-09-15"",""Friday"",""Sep"",""5"",""9"",""2000"""
"816,""2000-09-16"",""Saturday"",""Sep"",""6"",""9"",""2000"""
"817,""2000-09-17"",""Sunday"",""Sep"",""7"",""9"",""2000"""
"818,""2000-09-18"",""Monday"",""Sep"",""1"",""9"",""2000"""
"819,""2000-09-19"",""Tuesday"",""Sep"",""2"",""9"",""2000"""
"820,""2000-09-20"",""Wednesday"",""Sep"",""3"",""9"",""2000"""
"821,""2000-09-21"",""Thursday"",""Sep"",""4"",""9"",""2000"""
"822,""2000-09-22"",""Friday"",""Sep"",""5"",""9"",""2000"""
"823,""2000-09-23"",""Saturday"",""Sep"",""6"",""9"",""2000"""
"824,""2000-09-24"",""Sunday"",""Sep"",""7"",""9"",""2000"""
"825,""2000-09-25"",""Monday"",""Sep"",""1"",""9"",""2000"""
"826,""2000-09-26"",""Tuesday"",""Sep"",""2"",""9"",""2000"""
"827,""2000-09-27"",""Wednesday"",""Sep"",""3"",""9"",""2000"""
"828,""2000-09-28"",""Thursday"",""Sep"",""4"",""9"",""2000"""
"829,""2000-09-29"",""Friday"",""Sep"",""5"",""9"",""2000"""
"830,""2000-09-30"",""Saturday"",""Sep"",""6"",""9"",""2000"""
"901,""2000-10-01"",""Sunday"",""Oct"",""7"",""10"",""2000"""
"902,""2000-10-02"",""Monday"",""Oct"",""1"",""10"",""2000"""
"903,""2000-10-03"",""Tuesday"",""Oct"",""2"",""10"",""2000"""
"904,""2000-10-04"",""Wednesday"",""Oct"",""3"",""10"",""2000"""
"905,""2000-10-05"",""Thursday"",""Oct"",""4"",""10"",""2000"""
"906,""2000-10-06"",""Friday"",""Oct"",""5"",""10"",""2000"""
"907,""2000-10-07"",""Saturday"",""Oct"",""6"",""10"",""2000"""
"908,""2000-10-08"",""Sunday"",""Oct"",""7"",""10"",""2000"""
"909,""2000-10-09"",""Monday"",""Oct"",""1"",""10"",""2000"""
"910,""2000-10-10"",""Tuesday"",""Oct"",""2"",""10"",""2000"""
"911,""2000-10-11"",""Wednesday"",""Oct"",""3"",""10"",""2000"""
"912,""2000-10-12"",""Thursday"",""Oct"",""4"",""10"",""2000"""
"913,""2000-10-13"",""Friday"",""Oct"",""5"",""10"",""2000"""
"914,""2000-10-14"",""Saturday"",""Oct"",""6"",""10"",""2000"""
"915,""2000-10-15"",""Sunday"",""Oct"",""7"",""10"",""2000"""
"916,""2000-10-16"",""Monday"",""Oct"",""1"",""10"",""2000"""
"917,""2000-10-17"",""Tuesday"",""Oct"",""2"",""10"",""2000"""
"918,""2000-10-18"",""Wednesday"",""Oct"",""3"",""10"",""2000"""
"919,""2000-10-19"",""Thursday"",""Oct"",""4"",""10"",""2000"""
"920,""2000-10-20"",""Friday"",""Oct"",""5"",""10"",""2000"""
"921,""2000-10-21"",""Saturday"",""Oct"",""6"",""10"",""2000"""
"922,""2000-10-22"",""Sunday"",""Oct"",""7"",""10"",""2000"""
"923,""2000-10-23"",""Monday"",""Oct"",""1"",""10"",""2000"""
"924,""2000-10-24"",""Tuesday"",""Oct"",""2"",""10"",""2000"""
"925,""2000-10-25"",""Wednesday"",""Oct"",""3"",""10"",""2000"""
"926,""2000-10-26"",""Thursday"",""Oct"",""4"",""10"",""2000"""
"927,""2000-10-27"",""Friday"",""Oct"",""5"",""10"",""2000"""
"928,""2000-10-28"",""Saturday"",""Oct"",""6"",""10"",""2000"""
"929,""2000-10-29"",""Sunday"",""Oct"",""7"",""10"",""2000"""
"930,""2000-10-30"",""Monday"",""Oct"",""1"",""10"",""2000"""
"931,""2000-10-31"",""Tuesday"",""Oct"",""2"",""10"",""2000"""
"1001,""2000-11-01"",""Wednesday"",""Nov"",""3"",""11"",""2000"""
"1002,""2000-11-02"",""Thursday"",""Nov"",""4"",""11"",""2000"""
"1003,""2000-11-03"",""Friday"",""Nov"",""5"",""11"",""2000"""
"1004,""2000-11-04"",""Saturday"",""Nov"",""6"",""11"",""2000"""
"1005,""2000-11-05"",""Sunday"",""Nov"",""7"",""11"",""2000"""
"1006,""2000-11-06"",""Monday"",""Nov"",""1"",""11"",""2000"""
"1007,""2000-11-07"",""Tuesday"",""Nov"",""2"",""11"",""2000"""
"1008,""2000-11-08"",""Wednesday"",""Nov"",""3"",""11"",""2000"""
"1009,""2000-11-09"",""Thursday"",""Nov"",""4"",""11"",""2000"""
"1010,""2000-11-10"",""Friday"",""Nov"",""5"",""11"",""2000"""
"1011,""2000-11-11"",""Saturday"",""Nov"",""6"",""11"",""2000"""
"1012,""2000-11-12"",""Sunday"",""Nov"",""7"",""11"",""2000"""
"1013,""2000-11-13"",""Monday"",""Nov"",""1"",""11"",""2000"""
"1014,""2000-11-14"",""Tuesday"",""Nov"",""2"",""11"",""2000"""
"1015,""2000-11-15"",""Wednesday"",""Nov"",""3"",""11"",""2000"""
"1016,""2000-11-16"",""Thursday"",""Nov"",""4"",""11"",""2000"""
"1017,""2000-11-17"",""Friday"",""Nov"",""5"",""11"",""2000"""
"1018,""2000-11-18"",""Saturday"",""Nov"",""6"",""11"",""2000"""
"1019,""2000-11-19"",""Sunday"",""Nov"",""7"",""11"",""2000"""
"1020,""2000-11-20"",""Monday"",""Nov"",""1"",""11"",""2000"""
"1021,""2000-11-21"",""Tuesday"",""Nov"",""2"",""11"",""2000"""
"1022,""2000-11-22"",""Wednesday"",""Nov"",""3"",""11"",""2000"""
"1023,""2000-11-23"",""Thursday"",""Nov"",""4"",""11"",""2000"""
"1024,""2000-11-24"",""Friday"",""Nov"",""5"",""11"",""2000"""
"1025,""2000-11-25"",""Saturday"",""Nov"",""6"",""11"",""2000"""
"1026,""2000-11-26"",""Sunday"",""Nov"",""7"",""11"",""2000"""
"1027,""2000-11-27"",""Monday"",""Nov"",""1"",""11"",""2000"""
"1028,""2000-11-28"",""Tuesday"",""Nov"",""2"",""11"",""2000"""
"1029,""2000-11-29"",""Wednesday"",""Nov"",""3"",""11"",""2000"""
"1030,""2000-11-30"",""Thursday"",""Nov"",""4"",""11"",""2000"""
"1101,""2000-12-01"",""Friday"",""Dec"",""5"",""12"",""2000"""
"1102,""2000-12-02"",""Saturday"",""Dec"",""6"",""12"",""2000"""
"1103,""2000-12-03"",""Sunday"",""Dec"",""7"",""12"",""2000"""
"1104,""2000-12-04"",""Monday"",""Dec"",""1"",""12"",""2000"""
"1105,""2000-12-05"",""Tuesday"",""Dec"",""2"",""12"",""2000"""
"1106,""2000-12-06"",""Wednesday"",""Dec"",""3"",""12"",""2000"""
"1107,""2000-12-07"",""Thursday"",""Dec"",""4"",""12"",""2000"""
"1108,""2000-12-08"",""Friday"",""Dec"",""5"",""12"",""2000"""
"1109,""2000-12-09"",""Saturday"",""Dec"",""6"",""12"",""2000"""
"1110,""2000-12-10"",""Sunday"",""Dec"",""7"",""12"",""2000"""
"1111,""2000-12-11"",""Monday"",""Dec"",""1"",""12"",""2000"""
"1112,""2000-12-12"",""Tuesday"",""Dec"",""2"",""12"",""2000"""
"1113,""2000-12-13"",""Wednesday"",""Dec"",""3"",""12"",""2000"""
"1114,""2000-12-14"",""Thursday"",""Dec"",""4"",""12"",""2000"""
"1115,""2000-12-15"",""Friday"",""Dec"",""5"",""12"",""2000"""
"1116,""2000-12-16"",""Saturday"",""Dec"",""6"",""12"",""2000"""
"1117,""2000-12-17"",""Sunday"",""Dec"",""7"",""12"",""2000"""
"1118,""2000-12-18"",""Monday"",""Dec"",""1"",""12"",""2000"""
"1119,""2000-12-19"",""Tuesday"",""Dec"",""2"",""12"",""2000"""
